#汉字	频率	累计频率(%)	拼音
术	145952	66.48796654	shu4/zhu2
近	145903	66.54433181	jin4
格	145517	66.60054797	ge2
济	145485	66.65675176	ji4
干	145235	66.71285897	gan1/gan4
运	145084	66.76890785	yun4
怎	144959	66.82490844	zen3
步	144832	66.88085996	bu4
台	144516	66.93668941	tai2
让	143708	66.99220671	rang4
江	142927	67.04742229	jiang1
河	142025	67.10228942	he2
识	141519	67.15696106	shi2/zhi4
规	141400	67.21158674	gui1
拉	140739	67.26595705	la1
切	140280	67.32015005	qie1/qie4
极	140246	67.37432991	ji2
持	140065	67.42843985	chi2
若	140033	67.48253742	ruo4
英	139314	67.53635723	ying1
争	138224	67.58975595	zheng1
功	137856	67.64301251	gong1
深	137677	67.69619991	shen1
备	137470	67.74930735	bei4
造	137184	67.80230429	zao4
阳	136418	67.85500532	yang2
快	136149	67.90760243	kuai4
集	135005	67.95975758	ji2
布	134616	68.01176246	bu4
尽	133031	68.06315502	jin3/jin4
周	133010	68.11453947	zhou1
宗	132704	68.1658057	zong1
病	132664	68.21705648	bing4
华	132403	68.26820643	hua2/hua4
称	131938	68.31917675	chen4/cheng1/cheng4
罗	131828	68.37010456	luo1/luo2
爱	131534	68.4209188	ai4
导	131375	68.47167162	dao3
确	131223	68.52236571	que4
呢	130994	68.57297134	ne/ni2
办	130675	68.62345373	ban4
节	130487	68.67386349	jie2/jie1
根	130467	68.72426552	gen1
击	130084	68.7745196	ji1
商	127543	68.82379203	shang1
陈	127053	68.87287517	chen2
火	126942	68.92191543	huo3
兴	126488	68.97078029	xing1/xing4
京	126279	69.01956442	jing1
注	126258	69.06834043	zhu4
虽	126209	69.11709752	sui1
杀	126192	69.16584803	sha1
父	125984	69.2145182	fu4
存	125880	69.26314818	cun2
臣	125752	69.31172872	chen2
准	125605	69.36025246	zhun3
广	125039	69.40855755	guang3
首	124986	69.45684217	shou3
乎	124363	69.5048861	hu1
具	123904	69.55275272	ju4
甚	123872	69.60060697	shen4
黄	123742	69.64841101	huang2
